"AÑO","Código delDepartamento","Nombre del Departamento","Código delMunicipio","Nombre del Municipio","TECNICA PROFESIONAL","TECNOLOGICA","UNIVERSITARIA","ESPECIALIZACION","MAESTRIA","DOCTORADO","IES CON OFERTA"
"2005","11","11","11001","BOGOTÁ D.C.","63.098","40.178","279.544","23.603","7.399","492","106"
"2005","13","13","13001","CARTAGENA DE INDIAS","5.902","4.348","25.138","1.260","9","0","33"
"2005","13","13","13074","BARRANCO DE LOBA","40","0","0","0","0","0","1"
"2005","13","13","13188","CICUCO","50","0","0","0","0","0","1"
"2005","13","13","13248","EL GUAMO","40","0","0","0","0","0","1"
"2005","13","13","13300","HATILLO DE LOBA","41","0","0","0","0","0","1"
"2005","13","13","13430","MAGANGUÉ","70","0","33","0","0","0","2"
"2005","13","13","13442","MARÍA LA BAJA","41","0","0","0","0","0","1"
"2005","13","13","13468","SANTA CRUZ DE MOMPOX","82","0","96","0","0","0","2"
"2005","13","13","13549","PINILLOS","47","0","0","0","0","0","1"
"2005","13","13","13647","SAN ESTANISLAO","42","0","0","0","0","0","1"
"2005","13","13","13650","SAN FERNANDO","43","0","0","0","0","0","1"
"2005","13","13","13654","SAN JACINTO","80","0","0","0","0","0","1"
"2005","13","13","13657","SAN JUAN NEPOMUCENO","30","0","0","0","0","0","1"
"2005","13","13","13673","SANTA CATALINA","39","0","0","0","0","0","1"
"2005","13","13","13683","SANTA ROSA","43","0","0","0","0","0","1"
"2005","13","13","13744","SIMITÍ","0","132","0","0","0","0","1"
"2005","13","13","13836","TURBACO","72","0","0","0","0","0","1"
"2005","13","13","13873","VILLANUEVA","30","0","0","0","0","0","1"
"2005","15","15","15001","TUNJA","340","3.171","20.021","491","142","34","11"
"2005","15","15","15176","CHIQUINQUIRÁ","76","24","694","0","0","0","4"
"2005","15","15","15187","CHIVATÁ","34","0","0","0","0","0","1"
"2005","15","15","15238","DUITAMA","34","34","2.817","47","0","0","5"
"2005","15","15","15272","FIRAVITOBA","37","0","0","0","0","0","1"
"2005","15","15","15299","GARAGOA","57","0","2","0","0","0","2"
"2005","15","15","15332","GÜICÁN DE LA SIERRA","19","0","0","0","0","0","1"
"2005","15","15","15407","VILLA DE LEYVA","0","0","1","0","0","0","1"
"2005","15","15","15476","MOTAVITA","31","0","0","0","0","0","1"
"2005","15","15","15494","NUEVO COLÓN","37","0","0","0","0","0","1"
"2005","15","15","15507","OTANCHE","32","0","0","0","0","0","1"
"2005","15","15","15516","PAIPA","72","0","0","0","0","0","1"
"2005","15","15","15537","PAZ DE RÍO","14","0","0","0","0","0","1"
"2005","15","15","15572","PUERTO BOYACÁ","68","80","27","0","0","0","3"
"2005","15","15","15646","SAMACÁ","46","0","0","0","0","0","1"
"2005","15","15","15690","SANTA MARÍA","29","0","0","0","0","0","1"
"2005","15","15","15753","SOATÁ","80","0","0","0","0","0","1"
"2005","15","15","15757","SOCHA","76","0","0","0","0","0","1"
"2005","15","15","15759","SOGAMOSO","831","236","2.494","141","0","0","5"
"2005","15","15","15778","SUTATENZA","32","0","0","0","0","0","1"
"2005","15","15","15790","TASCO","30","0","0","0","0","0","1"
"2005","15","15","15835","TURMEQUÉ","29","0","0","0","0","0","1"
"2005","17","17","17001","MANIZALES","913","3.113","21.110","731","362","90","10"
"2005","17","17","17042","ANSERMA","119","0","0","0","0","0","1"
"2005","17","17","17174","CHINCHINÁ","35","0","0","0","0","0","1"
"2005","17","17","17380","LA DORADA","132","92","1","0","0","0","4"
"2005","17","17","17433","MANZANARES","72","0","0","0","0","0","1"
"2005","17","17","17442","MARMATO","142","0","0","0","0","0","1"
"2005","17","17","17486","NEIRA","44","0","0","0","0","0","1"
"2005","17","17","17513","PÁCORA","19","0","0","0","0","0","1"
"2005","17","17","17541","PENSILVANIA","255","0","0","0","0","0","1"
"2005","17","17","17662","SAMANÁ","28","0","0","0","0","0","1"
"2005","17","17","17873","VILLAMARÍA","0","0","162","0","0","0","2"
"2005","17","17","17877","VITERBO","45","0","0","0","0","0","1"
"2005","18","18","18001","FLORENCIA","342","137","4.474","92","0","0","7"
"2005","18","18","18029","ALBANIA","0","0","11","0","0","0","1"
"2005","18","18","18247","EL DONCELLO","100","0","0","0","0","0","1"
"2005","18","18","18592","PUERTO RICO","33","0","0","0","0","0","1"
"2005","19","19","19001","POPAYÁN","869","1.814","15.424","358","72","0","17"
"2005","19","19","19142","CALOTO","29","0","0","0","0","0","1"
"2005","19","19","19212","CORINTO","67","0","0","0","0","0","1"
"2005","19","19","19256","EL TAMBO","0","0","1","0","0","0","1"
"2005","19","19","19318","GUAPI","0","49","0","0","0","0","1"
"2005","19","19","19355","INZÁ","62","0","0","0","0","0","1"
"2005","19","19","19364","JAMBALÓ","30","0","0","0","0","0","1"
"2005","19","19","19397","LA VEGA","0","64","0","0","0","0","1"
"2005","19","19","19450","MERCADERES","26","0","0","0","0","0","1"
"2005","19","19","19455","MIRANDA","32","0","0","0","0","0","1"
"2005","19","19","19548","PIENDAMÓ - TUNÍA","59","0","0","0","0","0","1"
"2005","19","19","19573","PUERTO TEJADA","43","94","179","12","0","0","4"
"2005","19","19","19585","PURACÉ","32","0","0","0","0","0","1"
"2005","19","19","19698","SANTANDER DE QUILICHAO","114","49","0","0","0","0","1"
"2005","19","19","19698","SANTANDER DE QUILICHAO","88","172","312","0","0","0","3"
"2005","19","19","19743","SILVIA","36","0","0","0","0","0","1"
"2005","19","19","19821","TORIBÍO","0","0","115","0","0","0","1"
"2005","19","19","19845","VILLA RICA","94","0","0","0","0","0","1"
"2005","20","20","20001","VALLEDUPAR","329","117","0","0","0","0","1"
"2005","20","20","20001","VALLEDUPAR","0","277","11.391","188","0","0","13"
"2005","20","20","20011","AGUACHICA","244","0","614","0","0","0","4"
"2005","20","20","20013","AGUSTÍN CODAZZI","21","0","0","0","0","0","1"
"2005","20","20","20250","EL PASO","85","0","0","0","0","0","1"
"2005","20","20","20400","LA JAGUA DE IBIRICO","77","0","0","0","0","0","1"
"2005","20","20","20710","SAN ALBERTO","83","0","0","0","0","0","1"
"2005","23","23","23001","MONTERÍA","914","536","13.933","348","0","0","16"
"2005","23","23","23162","CERETÉ","56","75","0","0","0","0","2"
"2005","23","23","23168","CHIMÁ","0","50","0","0","0","0","1"
"2005","23","23","23182","CHINÚ","27","31","0","0","0","0","1"
"2005","23","23","23300","COTORRA","40","0","0","0","0","0","1"
"2005","23","23","23417","LORICA","101","32","0","0","0","0","1"
"2005","23","23","23417","LORICA","0","0","39","0","0","0","1"
"2005","23","23","23466","MONTELÍBANO","0","47","7","0","0","0","2"
"2005","23","23","23660","SAHAGÚN","0","32","89","0","0","0","2"
"2005","23","23","23670","SAN ANDRÉS DE SOTAVENTO","0","26","0","0","0","0","1"
"2005","23","23","23670","SAN ANDRÉS DE SOTAVENTO","0","0","1","0","0","0","1"
"2005","23","23","23672","SAN ANTERO","0","47","0","0","0","0","1"
"2005","25","25","25001","AGUA DE DIOS","0","497","838","0","0","0","1"
"2005","25","25","25019","ALBÁN","38","0","0","0","0","0","1"
"2005","25","25","25040","ANOLAIMA","40","0","0","0","0","0","1"
"2005","25","25","25099","BOJACÁ","0","0","1","0","0","0","1"
"2005","25","25","25123","CACHIPAY","24","0","0","0","0","0","1"
"2005","25","25","25126","CAJICÁ","0","0","2","0","0","0","1"
"2005","25","25","25148","CAPARRAPÍ","65","0","1","0","0","0","3"
"2005","25","25","25151","CÁQUEZA","56","0","0","0","0","0","1"
"2005","25","25","25168","CHAGUANÍ","29","0","0","0","0","0","1"
"2005","25","25","25175","CHÍA","219","819","6.188","779","0","0","6"
"2005","25","25","25181","CHOACHÍ","97","0","0","0","0","0","2"
"2005","25","25","25183","CHOCONTÁ","0","0","77","0","0","0","1"
"2005","25","25","25200","COGUA","0","0","2","0","0","0","1"
"2005","25","25","25258","EL PEÑÓN","0","0","1","0","0","0","1"
"2005","25","25","25269","FACATATIVÁ","28","136","1.232","0","0","0","5"
"2005","25","25","25279","FÓMEQUE","27","0","0","0","0","0","1"
"2005","25","25","25286","FUNZA","0","0","1","0","0","0","1"
"2005","25","25","25290","FUSAGASUGÁ","244","117","3.472","0","0","0","4"
"2005","25","25","25297","GACHETÁ","39","0","0","0","0","0","1"
"2005","25","25","25307","GIRARDOT","395","174","2.490","37","0","0","6"
"2005","25","25","25320","GUADUAS","68","0","2","0","0","0","2"
"2005","25","25","25322","GUASCA","55","0","0","0","0","0","2"
"2005","25","25","25326","GUATAVITA","0","0","2","0","0","0","1"
"2005","25","25","25377","LA CALERA","63","0","0","0","0","0","1"
"2005","25","25","25386","LA MESA","63","0","50","0","0","0","2"
"2005","25","25","25394","LA PALMA","33","0","0","0","0","0","1"
"2005","25","25","25402","LA VEGA","67","0","0","0","0","0","1"
"2005","25","25","25430","MADRID","123","376","1","0","0","0","4"
"2005","25","25","25438","MEDINA","31","0","0","0","0","0","1"
"2005","25","25","25473","MOSQUERA","779","563","1","0","0","0","2"
"2005","25","25","25486","NEMOCÓN","0","0","2","0","0","0","1"
"2005","25","25","25488","NILO","0","2.665","1","0","0","0","2"
"2005","25","25","25491","NOCAIMA","21","0","3","0","0","0","2"
"2005","25","25","25513","PACHO","26","0","0","0","0","0","1"
"2005","25","25","25572","PUERTO SALGAR","58","0","1","0","0","0","2"
"2005","25","25","25596","QUIPILE","43","0","0","0","0","0","1"
"2005","25","25","25658","SAN FRANCISCO","27","0","0","0","0","0","1"
"2005","25","25","25662","SAN JUAN DE RIOSECO","29","40","0","0","0","0","1"
"2005","25","25","25718","SASAIMA","30","0","0","0","0","0","1"
"2005","25","25","25736","SESQUILÉ","0","0","1","0","0","0","1"
"2005","25","25","25743","SILVANIA","0","0","313","0","0","0","1"
"2005","25","25","25754","SOACHA","249","0","0","0","0","0","1"
"2005","25","25","25754","SOACHA","164","418","409","0","0","0","5"
"2005","25","25","25772","SUESCA","0","0","2","0","0","0","1"
"2005","25","25","25799","TENJO","0","0","1","0","0","0","1"
"2005","25","25","25817","TOCANCIPÁ","37","0","0","0","0","0","1"
"2005","25","25","25843","VILLA DE SAN DIEGO DE UBATÉ","67","0","705","19","0","0","3"
"2005","25","25","25851","ÚTICA","49","0","0","0","0","0","2"
"2005","25","25","25862","VERGARA","0","0","2","0","0","0","1"
